Temperature,Mean Sigma (Physical),Std Sigma (Physical),Mean Sigma (Periodic),Std Sigma (Periodic)
500,7.345874658486848e-10,4.3482162508474466e-10,7.861823053232848e-08,8.279136771079852e-08
800,8.004737610004416e-08,5.215283104409648e-08,0.00018743597432510452,0.000585960564059443
1000,0.0015123624722848765,0.003096105125342436,3.9810880849766055e-06,8.53672105671037e-06
1500,0.0005969175512219418,0.0018532507654689626,2.9241598141631514e-05,5.4961197871291446e-05
2000,0.0012795697204226156,0.0008506858959843623,0.002524476536020419,0.00047377530489887536
